vibe::percussive,vibe::raw,vibe::euphoric,vibe::vocal,vibe::intense,vibe::piano,mood_top,genre_pred,energy_rms,engagement,track_id,vibe::dreamy,vibe::minimal,vibe::instrumental,vibe::driving,vibe::dark,vibe::deep,vibe::warm,vibe::hypnotic,vibe::punchy,vibe::atmospheric
,1.5044,1.4377,1.4581,1.7159,,intense / driving / raw,intense,1.10495,1.14862,120731983,,,,1.5777,,,1.2147,,,
-0.5987,,-0.5743,,,,punchy / warm / hypnotic,punchy,-0.58235,-0.51454,245577457,,-0.552,,,,,0.1551,-0.5071,0.1932,
1.063,,0.5855,,0.6202,,driving / percussive / minimal,driving,0.74952,0.41787,5014635,,0.658,,1.0684,,,,,,0.5257
,,1.8256,,1.7113,,euphoric / hypnotic / dark,euphoric,1.23078,1.15218,21752679,,,,,1.7378,1.5762,,1.7716,,1.7126
,,,,1.0289,1.0153,warm / punchy / minimal,warm,0.79827,0.79284,222783159,,1.3568,,,,,1.493,1.2813,1.4701,
0.0983,-0.1802,,-0.216,,,minimal / instrumental / percussive,minimal,-0.52254,-0.69347,46490285,-0.2546,0.2861,0.2379,,,,,,,
0.2199,0.8545,,,,0.415,raw / piano / percussive,raw,-0.40033,-0.29762,161754631,0.1579,,0.1486,,,0.0007,,,,
,0.7629,,1.1498,,-0.0544,vocal / instrumental / raw,vocal,-0.78692,-0.6193,173190813,0.6065,0.6242,1.0328,,,,,,,
-0.4298,-1.1441,,,,-1.1046,punchy / percussive / minimal,punchy,-0.87914,-1.32914,202579005,,-0.9598,,-1.0406,,,,,-0.3037,
,0.4369,,,,,deep / dark / punchy,deep,-0.50705,-0.74633,231967950,,0.05,0.0819,,0.7352,1.4016,,,0.4426,
,-0.0636,0.1542,,,0.1409,instrumental / deep / minimal,instrumental,-0.60542,-0.50981,242508358,,0.2613,0.7892,,,0.7539,,,,
,,,,,-0.0572,minimal / deep / punchy,minimal,-0.56469,-0.3764,101649699,,0.9866,-0.0112,,,0.2936,,-0.0154,0.2543,
,,,,0.7119,,punchy / deep / dark,punchy,0.61877,0.11579,88487611,,,0.8956,,1.1117,1.2955,,0.9219,1.604,
-0.8861,-0.9249,,-0.9635,,,percussive / raw / vocal,percussive,-1.36253,-1.34929,136113766,-1.2776,-1.226,,,,,,,-1.2276,
,,,,,0.3296,minimal / dreamy / instrumental,minimal,-0.62828,-0.06581,86017820,0.7681,0.8721,0.5979,0.2904,,0.4829,,,,
0.7319,-0.5392,,,,-0.3382,percussive / dreamy / piano,percussive,-0.92296,-0.86814,12671795,-0.296,-0.3745,-0.421,,,,,,,
0.6277,,,,0.8496,,punchy / intense / driving,punchy,0.834,0.27476,59489871,,,,0.7586,0.6457,,,,1.1001,0.6718
0.8654,-0.5468,-0.529,-0.5071,,,percussive / punchy / vocal,percussive,-0.38597,-0.91388,245616223,,-0.7143,,,,,,,-0.4274,
0.8229,,,-0.256,-0.332,-0.4949,percussive / punchy / vocal,percussive,-0.09547,-0.91211,127032946,,,,,-0.4877,,,,-0.0206,
0.4049,,,,,,percussive / deep / punchy,percussive,-0.67364,-1.58283,134167830,,,,-1.1465,-0.7245,-0.2865,,,-0.6917,-1.0687
,-0.196,,,,,dark / punchy / driving,dark,-0.47591,-1.02139,187463920,,-0.6009,,-0.0676,-0.0165,-0.3056,,,-0.0542,
,-0.0074,,-0.1583,,,raw / vocal / instrumental,raw,-0.78065,-1.20869,54073903,,-0.6172,-0.4262,,-0.6717,,,,-0.5748,
1.7491,-0.5002,-0.804,-1.1314,-1.0576,-1.2121,percussive / raw / euphoric,percussive,-0.68869,-1.56624,254300595,,,,,,,,,,
0.0488,-0.5222,0.5532,1.2629,-0.5314,-0.4996,vocal / euphoric / percussive,vocal,-1.33668,-0.63509,38849261,,,,,,,,,,
0.0907,,,,-0.7529,,percussive / punchy / intense,percussive,-0.63953,-1.46201,58983631,,,,,-0.8268,-0.8991,,-1.0033,-0.3254,
0.7946,,0.9161,,0.9321,,intense / euphoric / driving,intense,0.81419,0.3152,101282087,,,,0.8723,0.8179,,,,0.6578,
-0.3598,,-0.7555,,,-0.6617,warm / punchy / percussive,warm,-0.61647,-0.5577,250946944,,,,,,,-0.0648,-0.6633,-0.1668,
0.6678,0.6683,0.2204,,,,punchy / raw / percussive,punchy,0.25647,-0.25281,206872283,,,,,,0.0836,0.1103,,0.6919,
-0.5386,0.4085,,,,-0.7644,raw / punchy / deep,raw,-0.76807,-1.53662,81223610,,,,,-0.5976,-0.4551,,,-0.1819,
1.2145,,0.2982,,0.3189,,percussive / dark / intense,percussive,0.20028,-0.38187,133315494,,,,,0.3643,0.0459,,,,0.0831
1.4014,,,,-0.1965,,percussive / punchy / minimal,percussive,0.1664,-0.34472,228426127,,-0.0654,,,,,-0.0933,-0.1922,0.0648,
,,,,,,minimal / deep / warm,minimal,-0.31253,-0.03194,108086968,,0.5036,,,0.1873,0.4729,0.2645,0.0768,,0.126
,,,,1.9746,,intense / hypnotic / punchy,intense,1.53587,1.0618,2376459,,1.4585,,,1.6229,,1.4118,1.8987,1.8385,
,,,,,0.5854,dreamy / minimal / hypnotic,dreamy,-0.19668,0.37317,71053633,0.9206,0.7586,,,,0.6162,0.6209,0.716,,
0.7475,,-0.7436,-0.6258,-0.8486,,percussive / atmospheric / vocal,percussive,-0.56588,-0.94573,98175002,,,,,,-0.8906,,,,-0.5388
1.4954,,0.5227,,0.5944,0.7953,percussive / piano / punchy,percussive,0.70712,0.14949,13541424,,0.376,,,,,,,0.759,
0.0095,,,0.0345,-0.1108,-0.2174,dreamy / vocal / percussive,dreamy,-0.19902,-0.31744,54564214,0.1316,,-0.0785,,,,,,,
,0.8465,,0.753,0.2239,,raw / vocal / deep,raw,0.11852,-0.18552,76546239,,,0.2571,,0.3284,0.3357,,,,
,,,,-0.3529,,punchy / dark / warm,punchy,-0.22824,-0.63621,87723883,,-0.2124,,,0.1629,,-0.0703,-0.1403,0.6576,
,,,,,2.0764,piano / atmospheric / dreamy,piano,0.46096,0.92558,173010420,1.1689,0.9449,,,,,0.8572,1.13,,1.2002
,,,,,,warm / punchy / minimal,warm,0.23676,0.35251,81556170,,0.5372,,0.387,0.27,,1.1533,0.3958,0.9609,
,,,,,0.8735,warm / hypnotic / dreamy,warm,0.06562,1.03108,154159629,1.0918,0.9068,,,,,1.48,1.3756,,0.7547
,,,,,,warm / dark / punchy,warm,0.71149,0.86871,217743745,,1.1014,,1.1266,1.4267,,1.506,1.0667,1.3784,
0.6147,,,,1.0938,,intense / dark / hypnotic,intense,0.68458,0.34853,142524341,,,,,1.0761,,,0.7394,0.6877,0.7038
-0.0601,,,0.0069,,,warm / dreamy / minimal,warm,-0.41145,-0.05052,165629173,0.2154,0.1556,,,,,0.2709,-0.1909,,
,,,,,,warm / dreamy / minimal,warm,0.58015,1.02649,189582082,1.0702,1.0667,,0.8824,,,1.6618,0.8919,,0.8503
1.274,0.3365,,,0.2693,,percussive / raw / intense,percussive,0.47288,-0.33475,249410113,,,,0.0855,0.1199,,,,0.2627,
,,,,1.476,,warm / dark / deep,warm,0.65402,1.56036,257866761,,,,,1.8606,1.7637,2.0996,1.5243,1.469,
,0.7434,-0.2797,1.9036,,-0.2126,vocal / raw / dreamy,vocal,-1.94849,-0.23786,101028110,0.3799,,-0.153,,,,,,,
-0.0101,-0.5886,,0.0659,-0.5152,,vocal / percussive / punchy,vocal,-0.33009,-1.01131,102549208,,,,-0.6286,,,,,-0.1665,
,,,,,0.901,hypnotic / dreamy / atmospheric,hypnotic,-0.11332,0.53773,192042537,1.1847,1.0341,,,,0.5662,,1.2652,,1.1401
,,,,,,atmospheric / dark / hypnotic,atmospheric,1.05421,1.66412,260156429,,,,1.7354,1.9659,1.7809,1.9171,1.9364,,1.9739
,,,,0.8435,,punchy / dark / hypnotic,punchy,0.50572,0.23684,42294340,,,,,1.4723,0.7405,,1.0527,1.7059,0.7759
3.5483,-0.4346,0.7958,,0.0817,,percussive / euphoric / intense,percussive,0.6862,-0.39918,261969134,,,,,,,0.0395,,-0.2159,
,1.779,,1.0837,1.3984,,raw / dark / intense,raw,1.0015,0.52791,196837753,,,,1.2284,1.4449,,,,1.0683,
,,1.7525,,1.8574,,intense / euphoric / dark,intense,1.34775,1.23951,54195814,,,,,1.4587,,1.4434,,1.3078,1.289
,,0.5611,0.4491,0.2987,,dark / euphoric / vocal,dark,0.06584,0.24997,52707894,,,,,0.7355,,0.2549,0.2064,,
,0.9598,,1.3139,,,vocal / raw / dark,vocal,-0.09635,0.28188,7778984,,,,0.4723,0.7738,0.5662,,,,0.5415
1.2509,,0.9678,,,,warm / percussive / punchy,warm,0.75243,0.61281,218872317,,,,,0.5371,,1.561,0.5861,0.9886,
,,1.2393,1.1271,1.1614,,warm / euphoric / intense,warm,0.95094,1.08744,26834205,,,,1.0873,,,1.4675,,,1.0142
,,1.0145,,1.4109,,punchy / dark / intense,punchy,1.27122,0.44787,101752067,,,,,1.5312,1.3646,,1.0902,2.1377,
,,,,,0.0843,punchy / warm / dark,punchy,-0.12123,-0.17215,200722078,,0.2098,,,0.3663,,0.4924,0.1991,0.5332,
0.9186,,,,-0.0424,,percussive / punchy / deep,percussive,0.25599,-0.57609,151932251,,0.0048,,,,0.2132,,-0.0333,0.8977,
0.4878,0.8195,0.4456,0.5168,,,warm / raw / driving,warm,0.02568,0.41995,180166722,,,,0.6407,,,0.916,,,
,,,,,,minimal / dreamy / hypnotic,minimal,-0.42569,0.38638,92878549,1.1421,1.1459,0.1818,,,,0.6023,0.8258,,0.628
,,,,,3.2619,piano / minimal / atmospheric,piano,0.78696,0.97355,245509499,2.1275,2.6587,2.3198,,,,,2.0287,,2.4311
,,,,,1.6833,piano / deep / hypnotic,piano,-0.04288,0.63603,61732739,1.179,1.2936,,,,1.4274,,1.3563,,1.23
,,,0.3119,,,dreamy / warm / minimal,dreamy,-0.46384,0.3235,182178006,0.8566,0.7544,,,,,0.8289,0.3653,,0.2777
,,,,,1.2768,instrumental / deep / dreamy,instrumental,0.02314,0.90738,73458650,1.3921,1.3199,1.6499,,,1.6354,1.0894,,,
,,,,,1.4292,minimal / piano / hypnotic,minimal,0.31248,0.6753,104048148,,1.4544,,,1.0401,,,1.3931,1.0505,1.0886
,,0.1688,,,0.3848,punchy / hypnotic / dark,punchy,0.08243,0.03543,26113991,,,,,0.698,,,0.7827,1.0267,0.2388
0.0578,-0.167,,0.0709,,,vocal / percussive / raw,vocal,-1.01424,-0.96584,229990888,-0.8812,-0.7002,-0.6283,,,,,,,
,0.9359,1.3384,,1.0597,,warm / euphoric / dark,warm,0.92665,1.10999,22878325,,,,,1.3184,,1.7404,,1.0418,
,1.107,,1.8243,,0.8047,vocal / instrumental / minimal,vocal,-0.36486,0.44173,181653707,1.3018,1.4232,1.5072,,,,,,,
-0.2876,,,,,,dreamy / percussive / warm,dreamy,-0.73253,-0.48591,51991339,-0.1242,-0.4182,-0.5317,,,-0.4904,-0.3096,,,
,,1.3247,,1.5373,,punchy / dark / intense,punchy,1.13351,0.77484,187503024,,,,,1.7401,1.2638,1.3058,,2.0822,
0.3683,0.8466,-0.0134,0.3153,,,raw / percussive / vocal,raw,-0.83818,-0.39234,265178745,,,,-0.6716,,,-0.4662,,,
0.4251,-0.3564,-0.9259,0.1902,-0.9359,,percussive / vocal / raw,percussive,-1.02548,-1.35124,124994273,,,,,,,,,,-1.0621
1.1229,-0.6151,-0.8122,-0.3001,,,percussive / vocal / raw,percussive,-0.60607,-0.75958,89690324,-0.6705,,,,,,-0.7961,,,
,-0.0029,,1.309,,-0.2007,vocal / instrumental / dreamy,vocal,-0.50681,-0.54216,66637948,0.2052,0.1952,0.4106,,,,,,,
0.7557,,0.1647,,0.3324,,percussive / punchy / intense,percussive,0.42301,-0.14145,119980847,,,,-0.0419,,,0.2453,,0.6459,
1.4877,,0.6112,,0.7167,0.0398,percussive / intense / euphoric,percussive,0.57522,0.19137,97797308,,,,,,,0.2451,,0.4069,
,,,,0.6819,,dark / punchy / atmospheric,dark,0.25558,0.01943,15319877,,,,,1.5003,0.7549,,0.7294,0.8768,0.7979
,,2.0417,,1.8938,,euphoric / warm / punchy,euphoric,1.62416,1.61124,208912355,,,,,1.5429,,2.0392,1.8633,2.0067,
,,,,,0.6757,dreamy / minimal / warm,dreamy,-0.62544,0.43438,184747642,0.9986,0.9499,0.0288,,,,0.9302,0.236,,
0.2975,0.7396,,,,,driving / warm / raw,driving,0.21425,0.13806,22493992,,0.1509,,1.0447,0.4976,,0.8923,,,
0.8472,0.0126,,0.0792,,,percussive / minimal / driving,percussive,0.1353,-0.47885,137466487,,0.3227,0.0274,0.1151,,,,,,
,,,,,,driving / punchy / instrumental,driving,0.53825,0.42822,86336984,,1.0843,1.5023,1.6034,1.0662,1.4332,,,1.5684,
1.134,,1.1723,,1.8358,2.5553,piano / intense / atmospheric,piano,1.05959,0.6348,259292415,,,,,,1.3006,,,,1.4761
,,,,,-1.0627,punchy / minimal / warm,punchy,-1.23968,-1.34348,214461887,-1.2288,-0.9242,,,,-1.0262,-0.9799,,-0.3162,
,,,,,1.0625,minimal / hypnotic / piano,minimal,0.14871,0.20026,176831494,,1.7487,0.8404,,,,,1.2107,0.861,0.9241
0.5363,-0.4028,-0.906,-0.8069,-0.7468,,percussive / raw / intense,percussive,-0.54028,-1.06445,227963155,,,,-0.751,,,,,,
-0.3146,-0.5641,-1.248,-1.0643,,-0.9986,percussive / raw / piano,percussive,-1.32267,-1.32463,146274185,-1.0926,,,,,,,,,
0.1733,0.1801,-0.2436,,,-0.7624,raw / percussive / warm,raw,-0.92095,-0.38994,63439361,,,,-0.938,,,0.0674,,,
-0.3841,-0.5679,-0.5491,,,,percussive / euphoric / raw,percussive,-1.26015,-0.86446,15561852,-1.2011,,,-1.281,,,-0.8432,,,
-0.1677,-0.3098,-0.7938,-0.8337,,,percussive / raw / driving,percussive,-0.94033,-0.9447,125880745,,,,-0.638,-0.8534,,,,,
-0.1359,-0.0426,,-0.5831,,,raw / percussive / driving,raw,-0.47952,-0.82319,178603494,,,,-0.5146,-0.6207,,,,-0.6018,
-0.0046,-0.7655,,-0.9946,,,percussive / driving / raw,percussive,-0.82515,-1.05265,33164297,-0.8811,,-1.0285,-0.7471,,,,,,
2.0508,,0.6833,,0.4092,,percussive / warm / punchy,percussive,0.82339,0.42033,16489848,,,,,0.0938,,1.1954,,0.8341,
0.8621,0.4828,0.5462,0.8384,0.6226,,percussive / vocal / intense,percussive,0.41617,0.28945,120390667,,,,,,,,0.2882,,
1.0346,0.5931,0.3314,0.7144,-0.0776,,percussive / vocal / raw,percussive,0.00352,-0.18677,267737215,,,,-0.1494,,,,,,
0.6749,,-0.1075,,,-0.1845,percussive / warm / punchy,percussive,-0.37061,-0.35813,110815358,,,,,,,0.0364,-0.2997,-0.0729,
1.0369,,,,0.2306,,percussive / atmospheric / dreamy,percussive,0.35512,-0.07908,21321928,0.3873,,,0.1549,0.1979,,,,,0.4867
,,1.8461,,1.1448,,warm / euphoric / dark,warm,0.84041,1.49017,150399650,,,,,1.7,,2.1422,1.6451,,1.3207
,,,,1.185,,dark / intense / atmospheric,dark,0.85259,0.49908,66351712,,,,1.048,1.4073,1.0476,,,1.1334,1.1731
,,,,0.8312,,dark / deep / punchy,dark,0.34064,0.39766,164957702,,,,,1.2923,1.0658,,0.9476,1.0558,0.8479
,,,,,,dreamy / deep / driving,dreamy,0.7434,1.45143,60725820,1.7351,,,1.5965,,1.652,1.5654,1.5464,,1.5227
,,,,2.1179,2.8155,piano / atmospheric / hypnotic,piano,1.60286,1.82017,216814257,2.1836,,,1.9778,,,,2.3677,,2.3966
,1.3193,,,,,warm / raw / driving,warm,0.70851,0.92303,174531289,,1.1675,,1.3153,0.8812,,1.8259,,1.1996,
,,,,,1.6206,dark / driving / dreamy,dark,0.95373,1.19749,69963570,1.7421,,,1.7754,1.8027,,,1.6848,,1.742
,,0.2791,,,,warm / hypnotic / dark,warm,-0.06873,0.58831,188153882,,,,,0.6533,,1.2842,0.7957,0.5607,0.3242
,,,1.6657,,,instrumental / vocal / driving,instrumental,0.22087,0.74506,194688226,1.5465,1.4451,1.9056,1.6254,,,,,,1.5739
,0.1461,,0.6041,,,vocal / raw / instrumental,vocal,-0.58224,-0.7559,91662295,-0.0838,,0.0342,,,0.0261,,,,-0.2522
,1.575,,0.9263,,,raw / vocal / dark,raw,0.12262,0.43139,258785610,,0.8146,,0.6351,0.8553,,,,,0.6608
3.2332,0.9469,0.9218,,0.1328,,percussive / raw / euphoric,percussive,0.71154,0.13151,111872400,,,,0.016,,,0.7446,,,
1.0483,0.2519,-0.0607,,-0.1443,,percussive / raw / warm,percussive,0.09048,-0.35066,72703414,,,,,,,0.054,,-0.1331,
,,1.2522,1.2049,,,dreamy / euphoric / vocal,dreamy,-0.0361,1.28026,96012367,1.524,,,,,,1.0647,0.8977,,1.0257
0.4209,0.3699,,0.283,,,punchy / percussive / raw,punchy,0.28073,-0.0948,191872687,,,,0.1136,,,0.3127,,0.7056,
1.0997,,-0.9599,,-0.4092,,percussive / punchy / intense,percussive,0.17339,-1.40252,158014114,,,,-0.7784,-0.8407,,,,0.7814,
0.8224,,-0.0408,,-0.2135,,percussive / punchy / euphoric,percussive,0.01094,-0.79554,197866969,,,,,-0.4542,,-0.4538,,0.1865,
1.1192,,-0.6732,,-0.8607,,percussive / euphoric / intense,percussive,-0.68814,-1.55529,9709580,,,,,-1.6628,,,,-1.219,-1.5689
0.8509,0.0861,0.4896,-0.6133,-0.4404,,percussive / euphoric / raw,percussive,-0.62546,-0.52699,31439171,,,,,,,-0.6174,,,
,,1.1405,1.2404,1.1437,,dark / vocal / intense,dark,0.68564,0.89835,159885188,,,,,1.3101,,1.0852,1.0386,,
,,,,,,driving / dark / deep,driving,0.10334,0.40046,241731714,0.8797,0.5818,0.9262,1.1687,1.0263,0.9663,,,,
,,0.6655,0.7567,,,driving / dark / warm,driving,0.68099,0.7479,87702570,,,,1.1908,1.1687,,1.1514,,1.0521,
,,,,,,punchy / warm / minimal,punchy,-0.02977,0.1578,78214807,0.1592,0.4719,,0.1501,0.1128,,0.5377,,0.6917,
,0.9738,,,1.4631,,punchy / dark / deep,punchy,1.45984,0.54011,69218459,,,,1.1432,1.7822,1.6426,,,2.7324,
,,2.2099,,1.9686,1.8309,warm / euphoric / punchy,warm,1.35168,1.75631,71873252,,,,,,,2.5577,1.9939,2.1257,
,,,,0.3043,,warm / hypnotic / punchy,warm,0.14567,0.39997,32352780,,0.6789,,,0.3971,,1.1521,0.7271,0.6961,
,1.0362,0.2821,,0.5158,,punchy / raw / dark,punchy,0.48534,-0.17867,171612690,,,,,0.8515,0.4249,,,1.2694,
1.1463,0.5872,0.0999,-0.0054,0.1359,,percussive / raw / intense,percussive,0.07646,-0.43369,137690305,,,,,,,,-0.1743,,
,,1.7224,,2.1347,,dark / intense / hypnotic,dark,1.39684,1.45469,113391485,,,,,2.1669,,1.7718,1.8231,,1.6857
,,0.3581,,,,warm / hypnotic / atmospheric,warm,-0.35456,0.54781,47546211,0.3289,,,,0.1906,,0.9563,0.9163,,0.4439
1.6823,,1.0169,,0.5486,,percussive / warm / euphoric,percussive,0.74954,0.65259,162457886,,,,,,0.5121,1.2403,0.6922,,
,,,,,0.5547,minimal / piano / dreamy,minimal,-1.51758,-0.82994,176417890,0.2305,0.6165,-0.1125,,,-0.139,,,,-0.4435
,,,,0.359,,hypnotic / dark / punchy,hypnotic,-0.05734,-0.29779,103746521,,,,,0.4312,0.1592,,0.5688,0.4071,0.0893
1.2224,-0.2582,0.2394,,-0.2837,,percussive / euphoric / warm,percussive,0.0159,-0.24329,114789530,,,,,,,0.2307,,-0.2079,
,1.1271,0.8783,1.6334,,,vocal / raw / hypnotic,vocal,0.33641,0.78488,26335080,0.7591,,,,,,0.7173,0.9541,,
,,,,,,warm / hypnotic / deep,warm,0.5943,1.18344,247354019,,1.3007,,,1.2308,1.4103,1.6556,1.5599,,1.1006
,,,1.2623,,,atmospheric / vocal / dreamy,atmospheric,0.29122,0.79448,216214165,1.2071,,0.912,,1.0978,,,1.03,,1.2741
,2.005,,2.1922,,,vocal / raw / instrumental,vocal,-0.21098,0.70587,203797235,1.6892,,1.7235,,,1.605,,,,1.3225
0.7638,,,0.6555,0.6447,,driving / minimal / percussive,driving,0.64359,0.57551,103625276,,0.8894,,0.9183,,,0.7434,,,
,0.9642,,1.2888,,,vocal / minimal / dreamy,vocal,0.4297,0.79561,262466014,1.1097,1.1248,1.0958,,,,,,,0.9735
0.946,,-0.1908,,,,percussive / warm / dreamy,percussive,-0.05802,0.13783,24791643,0.0059,-0.208,,-0.129,,,0.5984,,,
,0.0985,,0.832,,,vocal / punchy / instrumental,vocal,-0.01612,-0.45551,87595613,0.0772,0.1933,0.2998,,,,,,0.4431,
,-0.243,,-0.0107,,,vocal / punchy / minimal,vocal,-0.51083,-0.52549,268398954,,-0.1499,-0.2743,-0.1629,,,,,-0.047,
0.0656,,,-0.15,,,minimal / warm / percussive,minimal,-0.41121,-0.26434,177463232,,0.3159,0.0636,-0.1667,,,0.1895,,,
1.1535,-0.465,-0.3875,,-0.3959,,percussive / punchy / euphoric,percussive,-0.02103,-0.68604,42995207,,,,,-0.4696,,,,-0.0118,
,0.9694,0.9113,0.9983,,,vocal / raw / euphoric,vocal,0.24225,0.45098,62847478,,,,0.524,0.6511,,0.5415,,,
0.4729,,,,,,percussive / minimal / atmospheric,percussive,-0.18049,-0.67201,47881040,-0.2728,-0.1419,,,,-0.2226,,,-0.2028,-0.1544
-0.2434,0.0818,,-0.503,,,raw / percussive / dark,raw,-0.73864,-0.78709,49317349,-0.5391,,,,-0.442,,-0.5477,,,
,0.2918,,0.6224,,,vocal / warm / raw,vocal,-0.18257,0.15781,113464009,0.2021,,,0.0918,,0.2605,0.4818,,,
,,,,,-0.5373,punchy / deep / dark,punchy,-0.54605,-0.86151,6312815,,,,,-0.1945,-0.098,-0.4731,-0.2158,0.3975,
,,,,,-0.0984,punchy / dreamy / piano,punchy,-0.34599,-0.24045,111213748,-0.0722,,-0.172,,-0.17,,-0.1455,,0.5866,
1.3974,,-0.5902,,-0.6275,,percussive / punchy / euphoric,percussive,-0.28528,-1.025,214467793,,,,,-0.777,-0.6694,,,-0.5202,
1.003,,-0.575,,-0.9751,,percussive / punchy / euphoric,percussive,-0.33106,-0.89659,144789088,,,,,,,-0.9197,,-0.099,-0.9386
,,,-0.1624,,,minimal / instrumental / dreamy,minimal,-0.32707,-0.3705,153124239,0.0902,0.3038,0.146,-0.0605,,,,,,-0.1304
0.527,,0.0687,,,,percussive / warm / punchy,percussive,0.02857,0.05914,246686997,,,,,-0.0611,,0.5259,0.0038,0.3501,
,,,0.0013,,,minimal / warm / punchy,minimal,-0.30778,-0.11904,219418886,-0.0568,0.3921,0.0414,,,,0.0905,,0.0428,
,0.9039,1.2691,,,1.0178,warm / euphoric / piano,warm,0.59272,1.23149,124804758,,,,0.9698,0.7898,,2.0402,,,
0.9647,0.8844,0.7676,0.2922,0.7094,,percussive / raw / euphoric,percussive,0.32196,0.47856,120792642,,,,,,,0.4691,,,
,,1.038,,1.0029,,hypnotic / warm / dreamy,hypnotic,0.84697,1.08878,226401976,1.1022,,,,,,1.1261,1.3125,,1.0079
,1.0205,,0.631,,1.1219,piano / raw / driving,piano,0.1191,0.14613,20936701,0.5592,,,0.6951,,0.5247,,,,
,2.4208,,2.1951,,,raw / vocal / instrumental,raw,0.68979,1.01092,131964548,,,1.7452,1.5143,1.4826,,,,,1.6333
,,,,,1.3436,minimal / piano / dreamy,minimal,-0.55056,0.08794,80541833,1.1843,1.7037,1.1686,,,,,0.7223,,0.8412
,,,,,0.6016,minimal / dreamy / instrumental,minimal,-0.40685,0.01678,260958590,1.2113,1.5792,0.721,,,0.5437,,,,0.5872
1.7727,,0.7347,,1.1932,,percussive / intense / euphoric,percussive,1.03094,0.62983,13388181,0.6611,,,0.6585,,,,0.6803,,
,,,,,0.8994,punchy / deep / piano,punchy,0.04465,-0.45311,264414971,,0.6333,0.7097,,,0.9191,,0.4903,1.5904,
,,0.6859,,,0.908,warm / hypnotic / piano,warm,-0.5507,0.59242,55323901,,0.4736,,,,,1.2546,1.1633,,0.3025
,,,,,,minimal / atmospheric / instrumental,minimal,0.8325,1.00612,70505674,1.6351,2.1645,1.7995,,,1.5795,,1.779,,1.8496
,,2.243,,2.0263,,dark / euphoric / intense,dark,0.89142,1.7445,8211395,,,,,2.25,,2.0154,1.9593,,1.5864
,,0.836,,,1.6615,piano / warm / hypnotic,piano,0.28626,0.97473,31060902,,0.9667,,,,,1.4267,1.345,0.6852,
,1.2288,,,,,raw / instrumental / driving,raw,-0.08711,-0.24055,27971190,,0.8873,1.1451,1.0345,0.502,0.6811,,,,
,,,,,0.4016,minimal / instrumental / driving,minimal,0.12853,-0.16276,245257704,,1.0723,0.8925,0.6325,,0.4266,,,0.471,
0.3653,,,,-0.428,,percussive / minimal / punchy,percussive,-0.28091,-0.81308,81943901,,0.274,-0.361,,,-0.4668,,,-0.0528,
,1.0304,-0.1636,1.8171,,0.5268,vocal / raw / piano,vocal,-1.66506,-0.422,233476473,0.1783,,0.4415,,,,,,,
,,,,,1.3213,piano / minimal / instrumental,piano,-1.1504,-0.28715,176796744,0.3313,0.7582,0.5668,,,0.1615,,-0.2126,,
1.1792,-0.8439,-0.3286,0.1362,-0.8441,-0.5905,percussive / vocal / euphoric,percussive,-0.74556,-1.549,225214674,,,,,,,,,,
,,,,,1.0422,minimal / piano / dreamy,minimal,-0.86082,0.0295,230969365,0.8997,1.2493,0.7607,,,0.3104,,0.49,,
0.5447,0.6138,,,,0.5136,minimal / instrumental / dreamy,minimal,0.06042,0.27306,208307899,0.6647,1.0505,0.8325,,,,,,,
,,,0.7415,,0.4296,instrumental / minimal / driving,instrumental,0.15651,0.14542,37001360,0.8819,1.2269,1.2372,0.9801,,,,,,
,0.9889,,,,,dreamy / deep / atmospheric,dreamy,-0.19371,0.6746,89985058,1.6625,,0.9162,,,1.0755,,0.8022,,1.0482
,1.5259,,1.0773,1.0024,,raw / punchy / vocal,raw,0.97978,0.28372,255852233,,,,1.0586,0.8196,,,,1.2235,
1.092,,0.1624,,0.3592,,percussive / punchy / intense,percussive,0.42335,-0.02382,77829458,0.0915,,,,,,,,0.3855,0.0457
,,,,,,warm / dreamy / driving,warm,-0.16311,1.43426,58731481,1.8939,1.1666,,1.1917,,,2.052,1.0474,,1.1034
0.1666,0.2388,,,,0.0502,raw / percussive / driving,raw,0.009,-0.2397,56821188,,,,0.0983,,,0.0286,,0.0433,
1.0672,,0.2173,-0.0927,0.2379,,percussive / intense / euphoric,percussive,-0.06649,-0.67661,163922371,,,,,-0.3809,,,,-0.3748,
,,1.398,,1.3205,,punchy / euphoric / intense,punchy,0.89131,0.57754,33513094,,,,,1.2926,0.8218,,1.3038,1.6793,
,,1.4738,,1.3339,,punchy / warm / dark,punchy,1.24588,1.11538,176066666,,,,,1.5438,,1.7924,1.4098,1.8987,
1.3788,1.7451,,1.7355,,,raw / vocal / percussive,raw,0.63131,0.78152,109615463,,,0.9761,1.1398,,,0.8317,,,
0.2853,,-1.1918,,,-1.4082,percussive / deep / euphoric,percussive,-1.13891,-1.56882,20214040,,,,,,-0.8788,,-1.4522,,-1.293
,,,,,-0.2232,minimal / dreamy / deep,minimal,-1.11708,-0.8207,72451659,0.1778,0.2092,-0.4899,,,-0.1983,,-0.2197,,
,,1.5132,,0.978,,warm / euphoric / punchy,warm,0.73013,1.09803,93827564,,,,,,1.037,1.9534,1.0351,1.0525,
0.8831,0.9143,0.8435,,,,driving / raw / percussive,driving,0.76601,0.66332,66366823,,,0.792,1.0521,,,0.7471,,,
